volatility,return
0.238275,0.135614
0.260328,0.142954
0.254779,0.15528
0.283119,0.149923
0.245918,0.126054
0.221108,0.139081
0.290484,0.134294
0.2366,0.121898
0.228337,0.127888
0.237564,0.119193
0.236124,0.132617
0.193676,0.130281
0.273138,0.124951
0.248337,0.115569
0.292792,0.128447
0.261141,0.144593
0.241245,0.135117
0.266967,0.134241
0.222123,0.152694
0.285422,0.13803
0.247196,0.155637
0.249352,0.125633
0.249841,0.131664
0.233008,0.140702
0.258444,0.130275
0.265103,0.151749
0.299966,0.156901
0.272442,0.141581
0.228432,0.135981
0.239041,0.0987095
0.286994,0.140807
0.249506,0.130733
0.236193,0.1317
0.224737,0.125224
0.285432,0.145134
0.252061,0.147141
0.252412,0.149439
0.253869,0.133834
0.277722,0.131219
0.205801,0.142887
0.243057,0.121979
0.25689,0.150077
0.223383,0.125685
0.243072,0.13734
0.202556,0.135272
0.254221,0.121121
0.233469,0.131851
0.21611,0.110948
0.211143,0.0982782
0.254333,0.138011
0.214006,0.131047
0.262042,0.147596
0.33574,0.142527
0.253131,0.137993
0.209519,0.119204
0.263727,0.135041
0.239262,0.134134
0.239334,0.131005
0.30018,0.122744
0.252942,0.131655
0.247971,0.14924
0.325797,0.124401
0.215045,0.134565
0.282912,0.146986
0.261186,0.164836
0.237281,0.13881
0.294888,0.145453
0.241072,0.139781
0.274985,0.148272
0.277689,0.134176
0.236186,0.132058
0.257851,0.14046
0.209201,0.12018
0.226834,0.111769
0.23763,0.128064
0.281245,0.14464
0.296705,0.149918
0.265278,0.156394
0.219281,0.139855
0.249572,0.135208
0.230363,0.130623
0.234506,0.135034
0.241193,0.132559
0.203735,0.111121
0.267632,0.146459
0.2748,0.157389
0.2517,0.13078
0.233636,0.13572
0.261172,0.157948
0.214519,0.126925
0.19904,0.129268
0.247485,0.155677
0.235826,0.146991
0.279404,0.149269
0.23077,0.143616
0.249298,0.128287
0.227346,0.121877
0.309415,0.143509
0.223764,0.152842
0.300126,0.154141
0.252166,0.143636
0.26567,0.149612
0.223474,0.138014
0.25341,0.143394
0.231988,0.135357
0.225756,0.126355
0.324495,0.119425
0.27513,0.15956
0.205005,0.134736
0.265131,0.136542
0.317614,0.14356
0.23043,0.14147
0.268287,0.155015
0.233264,0.139549
0.276541,0.163976
0.247057,0.132719
0.247927,0.124111
0.203498,0.125416
0.260029,0.134942
0.249553,0.139594
0.267804,0.136643
0.242616,0.153138
0.217772,0.126862
0.274616,0.144193
0.228097,0.142993
0.274607,0.153546
0.232923,0.137705
0.246943,0.133933
0.272912,0.152901
0.278776,0.141935
0.235175,0.13772
0.218946,0.142036
0.272027,0.149694
0.272092,0.113244
0.273942,0.129563
0.243711,0.132631
0.323194,0.147861
0.257941,0.146283
0.270176,0.155393
0.231276,0.135861
0.275164,0.127985
0.24062,0.141312
0.29414,0.152595
0.275316,0.147933
0.253395,0.11743
0.232309,0.139083
0.226275,0.141692
0.262264,0.12834
0.242737,0.1453
0.202918,0.128775
0.215917,0.132235
0.249928,0.12693
0.267698,0.11787
0.234979,0.146753
0.251043,0.152897
0.316487,0.14714
0.222541,0.121621
0.252659,0.125596
0.206602,0.131271
0.270084,0.14111
0.251985,0.132923
0.27592,0.134695
0.279893,0.149745
0.265093,0.156544
0.312189,0.129776
0.262657,0.127288
0.289969,0.15328
0.203884,0.124306
0.278688,0.1362
0.204898,0.111048
0.227635,0.139942
0.274425,0.136564
0.261025,0.122701
0.242071,0.135962
0.249981,0.126204
0.245965,0.120892
0.256674,0.1375
0.253663,0.137713
0.254992,0.141116
0.259545,0.151629
0.269758,0.149057
0.226976,0.133004
0.276052,0.119898
0.260963,0.154902
0.270489,0.147853
0.229957,0.157749
0.237418,0.136655
0.244121,0.139781
0.337776,0.142519
0.225741,0.12884
0.261101,0.138937
0.251365,0.168091
0.249712,0.120564
0.249544,0.13848
0.223523,0.132905
0.302898,0.135135
0.278979,0.116853
0.242262,0.13584
0.331301,0.144115
0.225711,0.123392
0.28049,0.150429
0.256343,0.138857
0.277543,0.107477
0.280272,0.147438
0.243133,0.122332
0.269038,0.133941
0.225744,0.138284
0.233807,0.13544
0.244154,0.138851
0.227223,0.13964
0.243618,0.136873
0.236965,0.134633
0.231295,0.152354
0.253177,0.133925
0.229321,0.145217
0.266228,0.15549
0.250815,0.132514
0.256667,0.129811
0.22333,0.143185
0.266038,0.129646
0.258882,0.153992
0.313492,0.146209
0.23164,0.121815
0.312824,0.145105
0.218042,0.143409
0.237509,0.149999
0.27348,0.144351
0.264646,0.141759
0.222987,0.15027
0.209942,0.145264
0.272471,0.125731
0.314242,0.14692
0.210908,0.140838
0.23904,0.135458
0.263309,0.149213
0.299262,0.142357
0.239763,0.125001
0.256754,0.146341
0.265309,0.126862
0.247876,0.125887
0.247132,0.133242
0.234848,0.11366
0.259138,0.161901
0.215716,0.129072
0.259287,0.125553
0.241658,0.138217
0.248474,0.133422
0.254985,0.138921
0.232756,0.141678
0.289686,0.141752
0.237155,0.154304
0.264278,0.139465
0.291965,0.141667
0.250594,0.128972
0.274476,0.143714
0.209596,0.133296
0.262305,0.12507
0.294724,0.119987
0.286821,0.144895
0.236338,0.135349
0.229855,0.129694
0.258951,0.139437
0.245366,0.138188
0.265551,0.125436
0.27695,0.152923
0.26294,0.133664
0.271933,0.143671
0.246959,0.143798
0.268769,0.135937
0.269353,0.159417
0.257611,0.158862
0.316807,0.155828
0.20739,0.109611
0.219282,0.138899
0.24133,0.149614
0.303776,0.128395
0.207265,0.144716
0.232971,0.120699
0.233186,0.118967
0.243683,0.159658
0.241836,0.124138
0.231588,0.125242
0.280633,0.163784
0.274505,0.137704
0.258194,0.154527
0.293462,0.13286
0.231151,0.135282
0.215769,0.138534
0.27645,0.141472
0.197083,0.110257
0.293176,0.141708
0.239866,0.140563
0.276946,0.132585
0.267156,0.146314
0.281377,0.144145
0.236582,0.138786
0.29686,0.120512
0.233189,0.1428
0.361477,0.134024
0.235074,0.131377
0.246805,0.140389
0.226199,0.136025
0.272922,0.137634
0.344815,0.134922
0.251394,0.139046
0.220829,0.132287
0.254468,0.16028
0.236283,0.153443
0.251519,0.133338
0.289047,0.147905
0.248892,0.149458
0.269859,0.128933
0.266391,0.127806
0.26582,0.148203
0.299445,0.145132
0.24834,0.126204
0.276152,0.137414
0.255444,0.140707
0.258973,0.119704
0.257376,0.139833
0.246897,0.130379
0.270382,0.145578
0.287991,0.160538
0.275739,0.154553
0.297151,0.146636
0.214419,0.135682
0.269111,0.115661
0.274842,0.147379
0.211668,0.128416
0.248487,0.139626
0.288891,0.138494
0.267876,0.141416
0.333122,0.152001
0.302187,0.138757
0.261466,0.148169
0.259085,0.150664
0.256882,0.162538
0.22324,0.141012
0.280209,0.136975
0.269257,0.156439
0.289438,0.160321
0.221367,0.125743
0.252571,0.136543
0.264517,0.129888
0.226133,0.11731
0.239014,0.142115
0.225527,0.146132
0.231034,0.141779
0.249613,0.141183
0.233753,0.130059
0.248498,0.144309
0.237531,0.127009
0.265103,0.136074
0.247036,0.143294
0.298965,0.129239
0.243705,0.134613
0.243217,0.116449
0.256793,0.126117
0.245535,0.134195
0.25441,0.139257
0.246721,0.142803
0.256031,0.127829
0.200948,0.118127
0.220295,0.126073
0.232785,0.142812
0.226168,0.126771
0.242075,0.134068
0.251215,0.160387
0.260177,0.135943
0.264287,0.14967
0.240967,0.140343
0.219086,0.134702
0.267863,0.135547
0.237207,0.137581
0.293546,0.167612
0.257947,0.125683
0.204153,0.112852
0.284336,0.11932
0.235419,0.138162
0.23583,0.137245
0.257146,0.122604
0.235432,0.130606
0.247069,0.143822
0.283633,0.152256
0.246714,0.129364
0.267324,0.147894
0.290697,0.126275
0.257096,0.15354
0.23463,0.127033
0.267626,0.12985
0.222422,0.13264
0.264598,0.123517
0.257686,0.133737
0.266103,0.154307
0.295253,0.131876
0.216417,0.121633
0.229895,0.157361
0.245013,0.129096
0.267688,0.138263
0.233339,0.125902
0.231526,0.115101
0.254907,0.147611
0.233359,0.132489
0.230128,0.132389
0.268196,0.141737
0.257804,0.159861
0.231741,0.119362
0.244593,0.16938
0.260076,0.139906
0.217595,0.132213
0.240433,0.138745
0.230956,0.130481
0.226316,0.135961
0.268013,0.134298
0.268268,0.118755
0.234744,0.128578
0.308061,0.15004
0.239067,0.116828
0.288482,0.141296
0.247409,0.159511
0.233031,0.149604
0.273239,0.153404
0.239257,0.130052
0.267284,0.154782
0.231991,0.142536
0.281675,0.149943
0.244932,0.131284
0.283864,0.138069
0.244621,0.133473
0.242688,0.126591
0.225967,0.130514
0.243053,0.145831
0.238404,0.152795
0.260089,0.154358
0.205969,0.136816
0.22512,0.129724
0.247703,0.121992
0.210158,0.10106
0.238567,0.125635
0.246459,0.140647
0.242197,0.144894
0.234796,0.132793
0.310988,0.135136
0.266302,0.161267
0.344692,0.134609
0.318333,0.148396
0.246048,0.144023
0.277738,0.149901
0.268994,0.11618
0.246357,0.136888
0.232331,0.152028
0.259563,0.113356
0.249738,0.127351
0.267493,0.120522
0.252494,0.136679
0.274167,0.153583
0.320737,0.144369
0.272036,0.139877
0.267593,0.132506
0.271082,0.119641
0.285437,0.154004
0.22948,0.13955
0.263049,0.140666
0.281701,0.148242
0.218926,0.133052
0.239327,0.136124
0.266648,0.141082
0.231063,0.1372
0.241231,0.138508
0.239637,0.122241
0.245888,0.13736
0.255194,0.147096
0.241653,0.139074
0.239817,0.134301
0.208759,0.126821
0.208544,0.138966
0.210448,0.114623
0.277162,0.141834
0.242068,0.127856
0.252854,0.142321
0.279902,0.141265
0.256836,0.135458
0.257478,0.147751
0.26889,0.143302
0.218572,0.151904
0.227611,0.121734
0.23313,0.123644
0.235553,0.14497
0.213758,0.13812
0.259717,0.123006
0.215712,0.125642
0.276785,0.148945
0.307032,0.151128
0.257383,0.104984
0.24027,0.134405
0.220839,0.136508
0.288007,0.127005
0.225725,0.139129
0.279829,0.14174
0.226777,0.132781
0.281213,0.155502
0.243181,0.132943
0.221193,0.123325
0.272878,0.15344
0.220199,0.134303
0.292365,0.147617
0.232825,0.139545
0.207711,0.133833
0.255144,0.145892
0.201417,0.12049
0.23858,0.143546
0.262765,0.132455
0.24698,0.145487
0.277191,0.162619
0.252303,0.141412
0.274211,0.161885
0.270029,0.137908
0.256309,0.143523
0.26014,0.118887
0.290763,0.137105
0.262811,0.148256
0.220214,0.136592
0.236081,0.124867
0.257512,0.153152
0.264674,0.14486
0.254005,0.135295
0.208179,0.140359
0.21281,0.13007
0.236881,0.126755
0.275372,0.136089
0.241633,0.136621
0.263625,0.119699
0.262904,0.14744
0.272384,0.152575
0.24409,0.142312
0.232316,0.146242
0.228853,0.137455
0.238484,0.155474
0.238653,0.138054
0.244534,0.130839
0.197346,0.109003
0.228021,0.134322
0.250553,0.134741
0.21774,0.139627
0.31351,0.140271
0.215621,0.129597
0.229723,0.125449
0.29318,0.146301
0.234424,0.149645
0.242489,0.125141
0.243499,0.13682
0.227114,0.144676
0.249924,0.136642
0.278665,0.147052
0.237485,0.122186
0.225828,0.138749
0.252593,0.125366
0.250963,0.136235
0.231347,0.135996
0.300121,0.163451
0.219726,0.144354
0.269908,0.133281
0.232548,0.133471
0.217467,0.125383
0.213605,0.0936668
0.196751,0.12395
0.23998,0.126063
0.238773,0.120559
0.23721,0.133284
0.264545,0.132566
0.256447,0.1307
0.227004,0.132004
0.273799,0.139306
0.235565,0.139661
0.236366,0.136671
0.24969,0.112734
0.263698,0.137609
0.24142,0.134864
0.2476,0.142057
0.292338,0.134449
0.263197,0.141378
0.234349,0.162095
0.26301,0.135473
0.251784,0.14264
0.265991,0.119439
0.269936,0.147473
0.320374,0.147097
0.231717,0.138099
0.266669,0.154751
0.300688,0.150327
0.318628,0.151511
0.273406,0.156619
0.278462,0.117905
0.224808,0.14644
0.286808,0.128721
0.222479,0.143747
0.266202,0.145032
0.251039,0.121095
0.287581,0.143778
0.233578,0.146779
0.249367,0.121653
0.24075,0.131536
0.297393,0.15819
0.250337,0.130756
0.25711,0.134209
0.245157,0.138442
0.219524,0.128819
0.231128,0.143004
0.240543,0.147075
0.27017,0.142646
0.233147,0.130557
0.300345,0.149487
0.236913,0.137384
0.303833,0.152195
0.245312,0.139349
0.279986,0.1429
0.241148,0.13637
0.238913,0.148358
0.217227,0.113211
0.236536,0.129938
0.237396,0.147824
0.245664,0.126218
0.2479,0.140218
0.25142,0.128669
0.2691,0.131526
0.230639,0.120241
0.266988,0.144878
0.266851,0.156689
0.267456,0.146313
0.203026,0.124578
0.286991,0.1208
0.256209,0.147954
0.239733,0.155469
0.266467,0.135557
0.244432,0.138189
0.213269,0.112927
0.242508,0.150436
0.246986,0.137011
0.237206,0.131895
0.215816,0.128367
0.249973,0.156092
0.253279,0.135466
0.242924,0.127699
0.233327,0.159656
0.250449,0.136159
0.24624,0.148321
0.274258,0.15312
0.279578,0.11841
0.26583,0.161542
0.237068,0.134475
0.276458,0.160544
0.272489,0.143826
0.259613,0.129663
0.232425,0.138819
0.24772,0.133556
0.248644,0.139755
0.213238,0.109341
0.273457,0.12603
0.247263,0.135068
0.274482,0.134726
0.316742,0.152462
0.235445,0.12788
0.226361,0.133361
0.271555,0.140692
0.204049,0.1289
0.217858,0.135199
0.257133,0.157478
0.233519,0.141849
0.242881,0.162256
0.229071,0.151615
0.265355,0.136169
0.281243,0.146868
0.250347,0.148486
0.241688,0.147013
0.263466,0.16081
0.242531,0.15033
0.22176,0.0928907
0.232267,0.133835
0.238745,0.136597
0.257354,0.139759
0.238503,0.13415
0.259497,0.126651
0.240748,0.143531
0.235397,0.129283
0.276139,0.149199
0.229871,0.144379
0.324767,0.144609
0.363468,0.133456
0.257454,0.125651
0.270419,0.14019
0.260364,0.119869
0.28552,0.157492
0.261051,0.152477
0.230763,0.15392
0.287166,0.157176
0.242617,0.133076
0.269823,0.130386
0.261954,0.148349
0.246059,0.139191
0.239821,0.13353
0.220569,0.13921
0.259677,0.144519
0.256772,0.160797
0.281946,0.139601
0.251074,0.141739
0.277542,0.154599
0.317622,0.138149
0.209188,0.137147
0.293315,0.151106
0.231295,0.137286
0.205555,0.134922
0.229611,0.141074
0.249023,0.137429
0.230919,0.120548
0.242495,0.149526
0.240757,0.11841
0.254824,0.137437
0.272532,0.155031
0.262891,0.145222
0.229829,0.133999
0.265012,0.137447
0.343993,0.132058
0.25413,0.140933
0.250712,0.142867
0.229448,0.126652
0.255105,0.138537
0.226349,0.151613
0.25819,0.149275
0.226226,0.143001
0.237489,0.159885
0.264048,0.142131
0.233533,0.122876
0.210457,0.122652
0.218202,0.129534
0.238979,0.144529
0.273932,0.143207
0.22705,0.126761
0.208267,0.126811
0.268714,0.138436
0.24204,0.129725
0.269496,0.141675
0.253552,0.123234
0.248666,0.137901
0.255121,0.14945
0.250808,0.143335
0.276905,0.146266
0.21313,0.128887
0.277098,0.127917
0.264602,0.155257
0.252062,0.163238
0.251998,0.130337
0.272205,0.156438
0.241212,0.15435
0.221461,0.13428
0.334269,0.136859
0.221268,0.140319
0.24362,0.12664
0.248605,0.159087
0.221628,0.152548
0.263424,0.148096
0.265598,0.148206
0.284845,0.144741
0.309288,0.140144
0.29674,0.127659
0.243293,0.134551
0.255851,0.131346
0.257486,0.153365
0.226506,0.134277
0.233191,0.13841
0.270779,0.140449
0.26643,0.15162
0.227425,0.140708
0.255786,0.140077
0.267689,0.131535
0.306787,0.149345
0.265142,0.134479
0.238806,0.127971
0.229344,0.141459
0.31458,0.14003
0.321207,0.142484
0.225309,0.159216
0.242718,0.133933
0.272536,0.129411
0.232771,0.130951
0.233778,0.129867
0.295948,0.135483
0.249148,0.12786
0.246592,0.154385
0.316502,0.14698
0.222811,0.137625
0.244669,0.150819
0.258769,0.145696
0.281238,0.125921
0.248495,0.148122
0.291666,0.131343
0.243003,0.137485
0.31386,0.153382
0.266207,0.125008
0.228904,0.132088
0.253919,0.161808
0.29276,0.144677
0.227847,0.131235
0.287764,0.138145
0.282887,0.144552
0.19718,0.119452
0.271389,0.126693
0.297156,0.142601
0.238874,0.144098
0.287356,0.148412
0.270808,0.14219
0.246274,0.153882
0.253434,0.144223
0.242775,0.122356
0.240376,0.128284
0.276137,0.146114
0.318998,0.150186
0.241449,0.146408
0.28835,0.145718
0.244049,0.140725
0.303319,0.110775
0.236988,0.129254
0.285223,0.14249
0.243959,0.129576
0.283171,0.155732
0.305856,0.166428
0.280799,0.125976
0.27754,0.130104
0.24364,0.129658
0.279249,0.129884
0.266648,0.12955
0.254652,0.125251
0.270341,0.148755
0.226632,0.14055
0.268615,0.151233
0.23252,0.140851
0.238409,0.130966
0.281402,0.155222
0.248472,0.137509
0.245202,0.13585
0.246003,0.130807
0.224764,0.149876
0.235681,0.166249
0.219179,0.134681
0.248569,0.138121
0.243827,0.128657
0.238109,0.12359
0.2389,0.13228
0.196509,0.122437
0.239985,0.151607
0.25383,0.119614
0.255694,0.105386
0.237745,0.135062
0.238592,0.14301
0.240814,0.145836
0.230171,0.134895
0.23318,0.13465
0.244327,0.128671
0.253053,0.13098
0.264749,0.1483
0.195986,0.131978
0.225838,0.145788
0.308446,0.132118
0.23258,0.125017
0.259824,0.154998
0.275936,0.157076
0.268118,0.133515
0.268941,0.137954
0.244627,0.137464
0.24268,0.136676
0.251091,0.132285
0.199527,0.136052
0.278915,0.13448
0.243647,0.134173
0.235058,0.131027
0.30952,0.159299
0.272018,0.15858
0.251835,0.142726
0.22384,0.129102
0.252389,0.149535
0.26272,0.113365
0.254602,0.136044
0.268492,0.139196
0.206092,0.145208
0.305846,0.138883
0.246409,0.137354
0.223365,0.120298
0.212581,0.143416
0.251829,0.131265
0.289775,0.128133
0.2162,0.146949
0.256324,0.147399
0.234733,0.12186
0.225004,0.144983
0.245027,0.131471
0.230192,0.1493
0.280453,0.15628
0.211779,0.122999
0.230036,0.142474
0.252294,0.126991
0.244653,0.15564
0.254161,0.151325
0.223958,0.134071
0.224257,0.137303
0.262492,0.110174
0.286843,0.155446
0.219409,0.134715
0.244406,0.153039
0.284889,0.138548
0.261965,0.139183
0.251127,0.136394
0.25277,0.124025
0.27947,0.133532
0.263425,0.113012
0.252065,0.13239
0.237665,0.126072
0.260562,0.13216
0.281622,0.153337
0.251547,0.142821
0.238277,0.139904
0.240932,0.132569
0.196257,0.12623
0.249758,0.12956
0.289498,0.122684
0.220795,0.130003
0.21745,0.126981
0.250164,0.132292
0.251519,0.139614
0.240409,0.125761
0.232637,0.143183
0.31417,0.135264
0.256682,0.132046
0.252749,0.133363
0.267719,0.12837
0.249241,0.132918
0.231594,0.150261
0.266699,0.156346
0.257352,0.144998
0.248963,0.15147
0.242814,0.130641
0.241339,0.169281
0.290283,0.146892
0.228211,0.136629
0.273694,0.166368
0.270951,0.130637
0.249526,0.139492
0.294496,0.157042
0.241219,0.139894
0.261163,0.127628
0.249001,0.141256
0.274719,0.141585
0.226453,0.140148
0.271953,0.135324
0.240203,0.140164
0.257688,0.136356
0.289892,0.141384
0.252176,0.149239
0.238556,0.134743
0.246004,0.12423
0.244872,0.152825
0.271745,0.157474
0.240656,0.153907
0.235076,0.142869
0.261919,0.137773
0.268462,0.12251
0.254813,0.143312
0.21799,0.110701
0.247605,0.154494
0.239426,0.135851
0.229092,0.13247
0.219307,0.145524
0.255787,0.143814
0.227324,0.143067
0.275204,0.141642
0.273371,0.157984
0.303205,0.140503
0.259701,0.166695
0.262014,0.153871
0.235482,0.142138
0.203489,0.1469
0.217161,0.109277
0.232133,0.102316
0.205996,0.140703
0.243565,0.13521
0.279345,0.148163
0.247504,0.144242
0.303233,0.147434
0.223083,0.133414
0.22363,0.127035
0.243612,0.139367
0.267068,0.145704
0.219863,0.122864
0.255875,0.141907
0.228514,0.136266
0.250144,0.162825
0.28419,0.155614
0.198982,0.137607
0.247836,0.147593
0.279619,0.151167
0.286387,0.134089
0.262097,0.132533
0.249592,0.150604
0.241902,0.139074
0.247816,0.127959
0.258271,0.135095
0.326886,0.136945
0.257234,0.137136
0.260214,0.14352
0.217739,0.127276
0.234984,0.135259
0.281015,0.146135
0.247125,0.145485
0.329343,0.144584
0.262958,0.147239
0.235797,0.118863
0.240298,0.129254
0.23166,0.127718
0.261114,0.136563
0.296678,0.134761
0.257555,0.152078
0.294488,0.142987
0.232004,0.12723
0.235482,0.119802
0.254934,0.137965
0.300733,0.157009
0.243006,0.13982
0.257894,0.137454
0.259189,0.146034
0.258648,0.117415
0.235974,0.128029
0.225684,0.122844
0.279639,0.139988
0.237068,0.122237
0.254276,0.132649
0.252694,0.121517
0.241312,0.116744
0.306745,0.119032
0.262647,0.121672
0.23976,0.142343
0.256102,0.144152
0.235685,0.138283
0.245139,0.159188
0.247619,0.150134
0.198789,0.120723
0.287983,0.147694
0.243458,0.162199
0.223746,0.146248
0.271235,0.124586
0.241796,0.136658
0.250577,0.127112
0.216034,0.134603
0.217318,0.1222
0.252143,0.152757
0.208567,0.102682
0.205664,0.114918
0.294616,0.155554
0.276507,0.152986
0.23913,0.137505
0.24194,0.158156
0.205321,0.138803
0.248058,0.137158
0.236861,0.134868
0.237668,0.1082
0.271996,0.127107
0.262913,0.147751
0.293859,0.135121
0.263032,0.095581
0.239443,0.151036
0.338806,0.125745
0.259586,0.147013
0.268165,0.142795
0.233046,0.146066
0.221813,0.119446
0.228794,0.145077
0.256703,0.133734
0.2526,0.143513
0.227488,0.148345
0.248587,0.150226
0.265596,0.129863
0.212353,0.132305
0.277425,0.165495
0.217107,0.131618
0.230909,0.134256
0.272198,0.128622
0.284948,0.139835
0.270328,0.156558
0.230932,0.137147
0.256136,0.142199
0.198458,0.12092
0.245489,0.15183
0.245871,0.139814
0.213341,0.134529
0.262865,0.142555
0.285444,0.158325
0.252043,0.135741
0.258519,0.127316
0.20067,0.129871
0.246004,0.135928
0.258362,0.138942
0.246681,0.143007
0.274437,0.160557
0.219334,0.126986
0.276166,0.144407
0.256344,0.118433
0.299474,0.146121
0.235025,0.122046
0.309972,0.148648
0.211216,0.134279
0.263148,0.116799
0.2669,0.141418
0.280068,0.132791
0.243722,0.135488
0.217481,0.124983
0.264693,0.131534
0.285433,0.118405
0.234343,0.132602
0.287042,0.144352
0.246232,0.139345
0.221108,0.119027
0.267255,0.138082
0.238444,0.127578
0.270495,0.153142
0.26188,0.157909
0.260466,0.145198
0.279823,0.122178
0.292658,0.146329
0.243665,0.163337
0.240762,0.138889
0.258728,0.150515
0.219329,0.141612
0.253964,0.138519
0.250275,0.120872
0.280797,0.143427
0.269174,0.162832
0.208134,0.129344
0.207774,0.124547
0.222332,0.133455
0.276108,0.132175
0.274945,0.151275
0.298734,0.118054
0.249621,0.130759
0.239966,0.139091
0.229429,0.137267
0.245139,0.13004
0.246977,0.1346
0.265168,0.135249
0.233786,0.151145
0.282163,0.155734
0.252241,0.127558
0.208579,0.14305
0.259029,0.129027
0.263918,0.14722
0.23005,0.115858
0.213908,0.121457
0.222225,0.143068
0.235954,0.143076
0.236909,0.125999
0.219337,0.122833
0.237064,0.135388
0.245359,0.138635
0.221481,0.13764
0.249657,0.129827
0.24352,0.136518
0.269386,0.150018
0.252304,0.143363
0.274044,0.127089
0.278115,0.136634
0.268813,0.142321
0.254866,0.15795
0.253212,0.123148
0.278212,0.120304
0.264501,0.140042
0.273301,0.150018
0.225455,0.139537
0.22873,0.127975
0.208808,0.14211
0.265022,0.142814
0.272071,0.151038
0.222705,0.144083
0.232267,0.133753
0.227772,0.126538
0.319179,0.149074
0.278127,0.148781
0.273089,0.139976
0.235446,0.141985
0.280625,0.126588
0.25699,0.135599
0.260505,0.147987
0.214555,0.135687
0.245826,0.128208
0.240559,0.142368
0.227757,0.137672
0.264755,0.142494
0.27932,0.134115
0.322989,0.146889
0.211126,0.136766
0.277677,0.160311
0.238015,0.157671
0.244944,0.153393
0.23364,0.130685
0.273923,0.150154
0.232111,0.143657
0.245512,0.135059
0.251606,0.130558
0.297891,0.151128
0.257776,0.128878
0.248013,0.128084
0.245151,0.135189
0.224019,0.140955
0.245605,0.144389
0.211638,0.136703
0.310932,0.129196
0.237916,0.132597
0.240472,0.133872
0.276704,0.146674
0.304159,0.131261
0.293298,0.159009
0.259993,0.153416
0.242346,0.137567
0.23522,0.12583
0.291885,0.142638
0.245345,0.118574
0.31029,0.146342
0.251314,0.121423
0.252113,0.131498
0.194429,0.118084
0.283698,0.15825
0.252231,0.13027
0.261142,0.144247
0.244349,0.13757
0.267722,0.158107
0.23512,0.151128
0.264098,0.138247
0.257379,0.132602
0.335555,0.135779
0.29878,0.146973
0.275753,0.144837
0.261659,0.139557
